User,Tweet,Latitude,Longitude,Sentiment,ID
RevClown,@shanedphillips @sandypsj @drschweitzer They're clearly listening. Either because of rabble like us or because the ,37.8199,-122.4783,positive,968945057138003968
ntonjerray,@H0tNFun And yet EYE I have to buy YOU a drink? Bye.,37.8199,-122.4783,neutral,968945045108703232
kylesavage12,New chapter ,37.8199,-122.4783,positive,968945040637575168
test5geo1798,TEST_LAT/LON: 60d3a3ca-db72-4649-9a42-1bee03196bde,37.8199,-122.4783,neutral,968945032584744961
SwAg_5,@Daaaann72 @XIL530 @Chris7959 @corona2413 @caocorona  a true hero ay ,37.8199,-122.4783,positive,968945029019418624
SaintBrendan,@MeierTimo @rogerfederer @SAPCenter @SanJoseSharks Do the right thing Roger ,37.8199,-122.4783,positive,968945028184735744
PIGG_PIN,@ericparnow You know i am ,37.8199,-122.4783,neutral,968945023633903616
belleairxo,awww whaaat. I remember being a child always asking for orange soda dont leave it out like this @McDonalds ,37.8199,-122.4783,positive,968945018294583296
belleairxo,awww whaaat. I remember being a child always asking for orange soda dont leave it out like this @McDonalds ,37.8199,-122.4783,positive,968945018294583296
tmj_SFO_purch,"Interested in a #job in #Oakland, CA? This could be a great fit:  #Purchasing #Hiring #CareerArc",37.8199,-122.4783,positive,968945016100896768
tmj_SJC_itdb,"Want to work at Accenture? We're #hiring in #SanJose, CA! Click for details:  #Database #Job #Jobs #CareerArc",37.8199,-122.4783,neutral,968945015547248640
StephyCM,Pero que asco de oportunista esto es increble,37.8199,-122.4783,neutral,968945002469474304
kimidoridemio,@NIcirowuccnV20X ,37.8199,-122.4783,neutral,968945001043443712
Skoringo_Tweets,"@StarlightTheCat 1. Cats
2. Voice acting
3. Comic dubs
4. Anime
5. Song covers",37.8199,-122.4783,positive,968944995775344640
itsybeadsykitty,"@sentbycrystal @theavigoldman @movableink I totally agree. @theavigoldman it was great summary, saved me a lot read ",37.8199,-122.4783,positive,968944991883022337
YouLiveLoveLife,"This is from a story called ""The Priceless Stone""
.
One day a young boy asks his father what ",37.8199,-122.4783,positive,968944989194670080
tmj_sfo_edu,"Want to work in #SF, CA? View our latest opening:  #Education #Job #Jobs #Hiring #CareerArc",37.8199,-122.4783,positive,968944984165527552
stariray1949,#LaLunaLastSacrifice ,37.8199,-122.4783,neutral,968944981875441664
Scottjonz,"2016 #Chevrolet #chevy #tahoe 27k miles. $39,995 plus fees. Financing available and Trade-in's ",37.8199,-122.4783,positive,968944980143296512
Scottjonz,"2016 #Chevrolet #chevy #tahoe 27k miles. $39,995 plus fees. Financing available and Trade-in's ",37.8199,-122.4783,positive,968944980143296512
jaaacklyn_marie,,37.8199,-122.4783,neutral,968944977261707264
damon_musha,@TheView @apalmerdc @MeghanMcCain @cindymccain She should be aware that Trumps hard-core supporters take great spo ,37.8199,-122.4783,positive,968944970689273856
ay_yoboungee,No ,37.8199,-122.4783,neutral,968944970093637632
juanita_dion,@IBMResearch #NLP via #AQL vs. custom #Java #code on the application of #humanintheloop - extraction in creating ru ,37.8199,-122.4783,neutral,968944962678136832
blessedBOMBsheL,I really want some @fentybeauty !!!,37.8199,-122.4783,positive,968944961759543297
blessedBOMBsheL,I really want some @fentybeauty !!!,37.8199,-122.4783,positive,968944961759543297
hashtagyoni,@SilkyRay Cus its reminding you not to do that shit again,37.8199,-122.4783,negative,968944945238167552
SpencerWest,@MadeByAeo Artists render of our apartment the weekend of #TwitchCon2018 ,37.8199,-122.4783,neutral,968944937956925441
SirFoxFur,@LedianaDomi13 Uhhhh ,37.8199,-122.4783,neutral,968944936136552453
tmj_sjc_it1,"Can you recommend anyone for this #job in #SantaClara, CA?  #IT #Hiring #CareerArc",37.8199,-122.4783,neutral,968944932412047360
tmj_ca_purch,"Interested in a #job in #Sacramento, CA? This could be a great fit:  #Purchasing #Hiring #CareerArc",37.8199,-122.4783,positive,968944931027824640
tmj_CAP_schn,Discover how a career at BASF can change the game! We encourage you to apply to our latest open position in #Newark ,37.8199,-122.4783,neutral,968944930985947136
cronchevron,mature ppl dont keep goin back n forth with muthafuckas,37.8199,-122.4783,neutral,968944930432344065
ThatGuyFrisco,this is the stupidest fucking shit Ive read all day ,37.8199,-122.4783,negative,968944929660592128
JoeE6,@Eoihnn @evildeceiver Beam me up scotty,37.8199,-122.4783,neutral,968944928196710400
SVForum,Were flying high at @kespry! Thank you for showing the @novarica program peeps how the sky is the limit for ,37.8199,-122.4783,positive,968944924576985089
SVForum,Were flying high at @kespry! Thank you for showing the @novarica program peeps how the sky is the limit for ,37.8199,-122.4783,positive,968944924576985089
Copewood_,I would move to Walnut Creek.,37.8199,-122.4783,neutral,968944922312114176
ArlandisHickman,@jaugustrichards enjoyed seeing you on the real today. Your style of dressing is very nice and your shoes was nice. What's your shoe size?,37.8199,-122.4783,positive,968944920764362752
meydii_,i never want to grow apart from my friends,37.8199,-122.4783,neutral,968944920219107328
xxFABLIFExx,"I'm at InterContinental Bar @ InterContinental San Francisco in San Francisco, CA  ",37.8199,-122.4783,neutral,968944905547640832
1004Prime,McEnery seems a bit small for a con this size... even Fanime is outgrowing this convention center ,37.8199,-122.4783,negative,968944898240950272
foxysl0th,I wanna go ,37.8199,-122.4783,neutral,968944896613564416
